Z,Element,χ,A,t½,φⁿ(Z),log₁₀(t½)
2,He,0.0,4.0026,∞,0.4204482076268573,99.0
10,Ne,0.0,20.1797,∞,0.056234132519034905,99.0
18,Ar,0.0,39.948,∞,0.026971765094851306,99.0
36,Kr,3.0,83.798,∞,0.011340230290662862,99.0
54,Xe,2.6,131.293,∞,0.006831369874693343,99.0
86,Rn,2.2,222.0,3.8,0.003818360563599306,0.5797835966168101
118,Og,,294.0,0.00069,0.0025712688638263323,-3.161150909262745
117,Ts,,294.0,2e-05,0.002598768971710507,-4.698970004336019
116,Lv,,293.0,0.061,0.0026268030596051724,-1.214670164989233
115,Mc,,288.0,0.65,0.0026553862345706273,-0.18708664335714442
114,Fl,,289.0,2.6,0.002684534167482535,0.414973347970818
113,Nh,,286.0,0.02,0.002714263119255632,-1.6989700043360187
112,Cn,,285.0,0.29,0.00274458996853243,-0.5376020021010439
111,Rg,,282.0,0.0016,0.0027755322409327076,-2.7958800173440754
110,Ds,,281.0,0.0006,0.0028071081399667712,-3.2218487496163566
